geo_id,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
BU07180800,31.6,31.6,31.6,31.6,31.6,26.4,26.4,26.4,26.4,26.4,0.15
BU07330000,10.1,10.1,10.1,10.1,10.1,8.6,8.6,8.6,8.6,8.6,0.15
BU07330001,8.7,8.7,8.7,8.7,8.7,8.5,8.5,8.5,8.5,8.5,0.15
BU07330002,28.7,28.7,28.7,28.7,28.7,15.3,15.3,15.3,15.3,15.3,0.15
BU07330009,20.6,20.6,20.6,20.6,20.6,21.4,21.4,21.4,21.4,21.4,0.15
BU07330100,8.6,8.6,8.6,8.6,8.6,6.3,6.3,6.3,6.3,6.3,0.15
BU07330101,12.1,12.1,12.1,12.1,12.1,8.9,8.9,8.9,8.9,8.9,0.15
BU07330102,19.5,19.5,19.5,19.5,19.5,18.6,18.6,18.6,18.6,18.6,0.15
BU07330109,45.7,45.7,45.7,45.7,45.7,19.2,19.2,19.2,19.2,19.2,0.15
BU07330200,14,14,14,14,14,11.3,11.3,11.3,11.3,11.3,0.15
BU07330209,21.1,21.1,21.1,21.1,21.1,27.5,27.5,27.5,27.5,27.5,0.15
BU07330309,18,18,18,18,18,24,24,24,24,24,0.15
BU07360101,5.8,5.8,5.8,5.8,5.8,4.7,4.7,4.7,4.7,4.7,0.15
BU07360201,8,8,8,8,8,14.5,14.5,14.5,14.5,14.5,0.15
BU07360202,32.8,32.8,32.8,32.8,32.8,21.9,21.9,21.9,21.9,21.9,0.15
BU07360401,8.6,8.6,8.6,8.6,8.6,12.5,12.5,12.5,12.5,12.5,0.15
BU07360402,7.4,7.4,7.4,7.4,7.4,8.6,8.6,8.6,8.6,8.6,0.15
BU07370000,10.8,10.8,10.8,10.8,10.8,11.3,11.3,11.3,11.3,11.3,0.15
BU07370009,28.2,28.2,28.2,28.2,28.2,26.5,26.5,26.5,26.5,26.5,0.15
BU07370100,15.8,15.8,15.8,15.8,15.8,15.6,15.6,15.6,15.6,15.6,0.15
BU07370101,13.7,13.7,13.7,13.7,13.7,11.2,11.2,11.2,11.2,11.2,0.15
BU07370102,20.6,20.6,20.6,20.6,20.6,19.6,19.6,19.6,19.6,19.6,0.15
BU07370108,27.2,27.2,27.2,27.2,27.2,24.3,24.3,24.3,24.3,24.3,0.15
BU07370109,9.2,9.2,9.2,9.2,9.2,8.5,8.5,8.5,8.5,8.5,0.15
BU07370200,19.2,19.2,19.2,19.2,19.2,15.7,15.7,15.7,15.7,15.7,0.15
BU07370201,15,15,15,15,15,13.5,13.5,13.5,13.5,13.5,0.15
BU07370208,23.6,23.6,23.6,23.6,23.6,23.4,23.4,23.4,23.4,23.4,0.15
BU07370209,26.2,26.2,26.2,26.2,26.2,19.5,19.5,19.5,19.5,19.5,0.15
BU07370300,18,18,18,18,18,16.3,16.3,16.3,16.3,16.3,0.15
BU07370309,40.5,40.5,40.5,40.5,40.5,19.7,19.7,19.7,19.7,19.7,0.15
BU07370400,14.1,14.1,14.1,14.1,14.1,16.7,16.7,16.7,16.7,16.7,0.15
BU07370401,16.7,16.7,16.7,16.7,16.7,17.8,17.8,17.8,17.8,17.8,0.15
BU07370408,29.4,29.4,29.4,29.4,29.4,20.7,20.7,20.7,20.7,20.7,0.15
BU07370409,4.7,4.7,4.7,4.7,4.7,37.7,37.7,37.7,37.7,37.7,0.15
BU07370500,14.9,14.9,14.9,14.9,14.9,10.3,10.3,10.3,10.3,10.3,0.15
BU07370501,14.5,14.5,14.5,14.5,14.5,13.7,13.7,13.7,13.7,13.7,0.15
BU07370508,15.7,15.7,15.7,15.7,15.7,29.8,29.8,29.8,29.8,29.8,0.15
BU07370509,35.3,35.3,35.3,35.3,35.3,27.6,27.6,27.6,27.6,27.6,0.15
BU07370600,18.1,18.1,18.1,18.1,18.1,16,16,16,16,16,0.15
BU07370609,37.9,37.9,37.9,37.9,37.9,28.1,28.1,28.1,28.1,28.1,0.15
BU07370700,17.1,17.1,17.1,17.1,17.1,14.2,14.2,14.2,14.2,14.2,0.15
BU07370701,15.9,15.9,15.9,15.9,15.9,15.1,15.1,15.1,15.1,15.1,0.15
BU07370708,37.7,37.7,37.7,37.7,37.7,34,34,34,34,34,0.15
BU07370709,26.9,26.9,26.9,26.9,26.9,21.5,21.5,21.5,21.5,21.5,0.15
BU07370800,15.1,15.1,15.1,15.1,15.1,14,14,14,14,14,0.15
BU07370809,29.4,29.4,29.4,29.4,29.4,21.6,21.6,21.6,21.6,21.6,0.15
BU07370900,12.3,12.3,12.3,12.3,12.3,12.6,12.6,12.6,12.6,12.6,0.15
BU07370909,14.9,14.9,14.9,14.9,14.9,22.9,22.9,22.9,22.9,22.9,0.15
BU15810000,8.3,8.3,8.3,8.3,8.3,11.8,11.8,11.8,11.8,11.8,0.15
BU15810001,6.1,6.1,6.1,6.1,6.1,8,8,8,8,8,0.15
BU15810002,13.4,13.4,13.4,13.4,13.4,13.6,13.6,13.6,13.6,13.6,0.15
BU15810003,9.7,9.7,9.7,9.7,9.7,9,9,9,9,9,0.15
BU15810004,7.6,7.6,7.6,7.6,7.6,8.1,8.1,8.1,8.1,8.1,0.15
BU15810007,10.8,10.8,10.8,10.8,10.8,33.2,33.2,33.2,33.2,33.2,0.15
BU15810008,18.8,18.8,18.8,18.8,18.8,12.8,12.8,12.8,12.8,12.8,0.15
BU15810009,16.2,16.2,16.2,16.2,16.2,32,32,32,32,32,0.15
BU15810101,39.9,39.9,39.9,39.9,39.9,24.4,24.4,24.4,24.4,24.4,0.15
BU15810102,26.9,26.9,26.9,26.9,26.9,31.5,31.5,31.5,31.5,31.5,0.15
BU15810103,9.5,9.5,9.5,9.5,9.5,16.2,16.2,16.2,16.2,16.2,0.15
BU15810104,12.3,12.3,12.3,12.3,12.3,10.7,10.7,10.7,10.7,10.7,0.15
BU15810105,10.2,10.2,10.2,10.2,10.2,8.6,8.6,8.6,8.6,8.6,0.15
BU15810106,7.4,7.4,7.4,7.4,7.4,7.9,7.9,7.9,7.9,7.9,0.15
BU15810107,8.3,8.3,8.3,8.3,8.3,9.3,9.3,9.3,9.3,9.3,0.15
BU15810108,7.4,7.4,7.4,7.4,7.4,7.1,7.1,7.1,7.1,7.1,0.15
BU15810109,11.2,11.2,11.2,11.2,11.2,13.3,13.3,13.3,13.3,13.3,0.15
BU15810110,38.1,38.1,38.1,38.1,38.1,27.6,27.6,27.6,27.6,27.6,0.15
BU15810200,10.5,10.5,10.5,10.5,10.5,12.6,12.6,12.6,12.6,12.6,0.15
BU15810201,9.3,9.3,9.3,9.3,9.3,47.6,47.6,47.6,47.6,47.6,0.15
BU15810207,37.8,37.8,37.8,37.8,37.8,26.7,26.7,26.7,26.7,26.7,0.15
BU15810208,8.2,8.2,8.2,8.2,8.2,16.7,16.7,16.7,16.7,16.7,0.15
BU15810209,39.3,39.3,39.3,39.3,39.3,32.1,32.1,32.1,32.1,32.1,0.15
BU15810300,9.3,9.3,9.3,9.3,9.3,9.4,9.4,9.4,9.4,9.4,0.15
BU15810302,22.7,22.7,22.7,22.7,22.7,23.4,23.4,23.4,23.4,23.4,0.15
BU15810308,29,29,29,29,29,28.6,28.6,28.6,28.6,28.6,0.15
BU15810309,30.3,30.3,30.3,30.3,30.3,42.3,42.3,42.3,42.3,42.3,0.15
BU15810400,13,13,13,13,13,12.4,12.4,12.4,12.4,12.4,0.15
BU15810402,12,12,12,12,12,12.7,12.7,12.7,12.7,12.7,0.15
BU15810403,22.2,22.2,22.2,22.2,22.2,19,19,19,19,19,0.15
BU15810408,27.2,27.2,27.2,27.2,27.2,25.8,25.8,25.8,25.8,25.8,0.15
BU15810409,29.9,29.9,29.9,29.9,29.9,35.3,35.3,35.3,35.3,35.3,0.15
BU16211111,7.7,7.7,7.7,7.7,7.7,8,8,8,8,8,0.15
BU16211121,12,12,12,12,12,11.3,11.3,11.3,11.3,11.3,0.15
BU16211211,10.5,10.5,10.5,10.5,10.5,8.4,8.4,8.4,8.4,8.4,0.15
BU16211221,9.1,9.1,9.1,9.1,9.1,9,9,9,9,9,0.15
BU16211231,5.9,5.9,5.9,5.9,5.9,6.6,6.6,6.6,6.6,6.6,0.15
BU16211311,8.9,8.9,8.9,8.9,8.9,8.5,8.5,8.5,8.5,8.5,0.15
BU16211321,7.2,7.2,7.2,7.2,7.2,6.4,6.4,6.4,6.4,6.4,0.15
BU16211331,6.6,6.6,6.6,6.6,6.6,5.7,5.7,5.7,5.7,5.7,0.15
BU16211411,26.7,26.7,26.7,26.7,26.7,17.9,17.9,17.9,17.9,17.9,0.15
BU16211514,21.9,21.9,21.9,21.9,21.9,14.9,14.9,14.9,14.9,14.9,0.15
BU16211522,43.5,43.5,43.5,43.5,43.5,23,23,23,23,23,0.15
BU16211531,10,10,10,10,10,13.9,13.9,13.9,13.9,13.9,0.15
BU16211543,8.9,8.9,8.9,8.9,8.9,12.2,12.2,12.2,12.2,12.2,0.15
BU16211552,29.6,29.6,29.6,29.6,29.6,18.5,18.5,18.5,18.5,18.5,0.15
BU16212111,6.3,6.3,6.3,6.3,6.3,5.2,5.2,5.2,5.2,5.2,0.15
BU16212121,4.6,4.6,4.6,4.6,4.6,3.6,3.6,3.6,3.6,3.6,0.15
BU16212131,9.1,9.1,9.1,9.1,9.1,8.5,8.5,8.5,8.5,8.5,0.15
BU16212144,19.8,19.8,19.8,19.8,19.8,17.7,17.7,17.7,17.7,17.7,0.15
BU16212211,6.7,6.7,6.7,6.7,6.7,5,5,5,5,5,0.15
BU16212221,8.2,8.2,8.2,8.2,8.2,8.7,8.7,8.7,8.7,8.7,0.15
BU16212231,8.8,8.8,8.8,8.8,8.8,6.5,6.5,6.5,6.5,6.5,0.15
BU16212241,11.7,11.7,11.7,11.7,11.7,9.3,9.3,9.3,9.3,9.3,0.15
BU16212311,12,12,12,12,12,7.7,7.7,7.7,7.7,7.7,0.15
BU16212321,7.5,7.5,7.5,7.5,7.5,7,7,7,7,7,0.15
BU16212331,7.1,7.1,7.1,7.1,7.1,6.9,6.9,6.9,6.9,6.9,0.15
BU16212412,23.6,23.6,23.6,23.6,23.6,21.2,21.2,21.2,21.2,21.2,0.15
BU16212511,12.9,12.9,12.9,12.9,12.9,8.3,8.3,8.3,8.3,8.3,0.15
BU16212521,7,7,7,7,7,7.2,7.2,7.2,7.2,7.2,0.15
BU16212531,7.7,7.7,7.7,7.7,7.7,6.7,6.7,6.7,6.7,6.7,0.15
BU16212541,8.9,8.9,8.9,8.9,8.9,9.3,9.3,9.3,9.3,9.3,0.15
BU16212611,7.5,7.5,7.5,7.5,7.5,11,11,11,11,11,0.15
BU16212621,26.2,26.2,26.2,26.2,26.2,9.6,9.6,9.6,9.6,9.6,0.15
BU16212633,11.4,11.4,11.4,11.4,11.4,10.8,10.8,10.8,10.8,10.8,0.15
BU16212711,8.8,8.8,8.8,8.8,8.8,7.2,7.2,7.2,7.2,7.2,0.15
BU16212721,9.8,9.8,9.8,9.8,9.8,6.4,6.4,6.4,6.4,6.4,0.15
BU16212731,8.8,8.8,8.8,8.8,8.8,7.6,7.6,7.6,7.6,7.6,0.15
BU16212741,6.4,6.4,6.4,6.4,6.4,5.1,5.1,5.1,5.1,5.1,0.15
BU16212814,13.9,13.9,13.9,13.9,13.9,14.3,14.3,14.3,14.3,14.3,0.15
BU16212823,12.7,12.7,12.7,12.7,12.7,8.9,8.9,8.9,8.9,8.9,0.15
BU16212833,17,17,17,17,17,14.5,14.5,14.5,14.5,14.5,0.15
BU16212843,11.3,11.3,11.3,11.3,11.3,7.3,7.3,7.3,7.3,7.3,0.15
BU16212851,12.3,12.3,12.3,12.3,12.3,5.9,5.9,5.9,5.9,5.9,0.15
BU16212864,18.6,18.6,18.6,18.6,18.6,23,23,23,23,23,0.15
BU16213111,10,10,10,10,10,11,11,11,11,11,0.15
BU16213121,8.9,8.9,8.9,8.9,8.9,9.7,9.7,9.7,9.7,9.7,0.15
BU16213133,22,22,22,22,22,14.5,14.5,14.5,14.5,14.5,0.15
BU16213141,7.4,7.4,7.4,7.4,7.4,5.1,5.1,5.1,5.1,5.1,0.15
BU16213162,14.3,14.3,14.3,14.3,14.3,20.2,20.2,20.2,20.2,20.2,0.15
BU16213211,10.1,10.1,10.1,10.1,10.1,8.1,8.1,8.1,8.1,8.1,0.15
BU16213221,9.4,9.4,9.4,9.4,9.4,8.4,8.4,8.4,8.4,8.4,0.15
BU16213231,9.3,9.3,9.3,9.3,9.3,7.7,7.7,7.7,7.7,7.7,0.15
BU16213242,14.3,14.3,14.3,14.3,14.3,24.8,24.8,24.8,24.8,24.8,0.15
BU16213251,13.8,13.8,13.8,13.8,13.8,9.1,9.1,9.1,9.1,9.1,0.15
BU16213261,7.6,7.6,7.6,7.6,7.6,7.8,7.8,7.8,7.8,7.8,0.15
BU16213312,29.8,29.8,29.8,29.8,29.8,24.5,24.5,24.5,24.5,24.5,0.15
BU16213323,23.2,23.2,23.2,23.2,23.2,18.6,18.6,18.6,18.6,18.6,0.15
BU16213334,28.9,28.9,28.9,28.9,28.9,19.4,19.4,19.4,19.4,19.4,0.15
BU16213344,16.5,16.5,16.5,16.5,16.5,17.7,17.7,17.7,17.7,17.7,0.15
BU16213353,15.6,15.6,15.6,15.6,15.6,9.5,9.5,9.5,9.5,9.5,0.15
BU16760000,5.8,5.8,5.8,5.8,5.8,4.2,4.2,4.2,4.2,4.2,0.15
BU16760001,7.6,7.6,7.6,7.6,7.6,6.8,6.8,6.8,6.8,6.8,0.15
BU16760002,9.1,9.1,9.1,9.1,9.1,9,9,9,9,9,0.15
BU16760003,25.4,25.4,25.4,25.4,25.4,16.5,16.5,16.5,16.5,16.5,0.15
BU16760004,14.2,14.2,14.2,14.2,14.2,10.7,10.7,10.7,10.7,10.7,0.15
BU16760007,23,23,23,23,23,13.4,13.4,13.4,13.4,13.4,0.15
BU16760008,21.3,21.3,21.3,21.3,21.3,37,37,37,37,37,0.15
BU16760009,28.9,28.9,28.9,28.9,28.9,38,38,38,38,38,0.15
BU16760100,10.2,10.2,10.2,10.2,10.2,7.2,7.2,7.2,7.2,7.2,0.15
BU16760109,11.9,11.9,11.9,11.9,11.9,11.2,11.2,11.2,11.2,11.2,0.15
BU16760200,19.3,19.3,19.3,19.3,19.3,9.5,9.5,9.5,9.5,9.5,0.15
BU16760209,31.5,31.5,31.5,31.5,31.5,32.9,32.9,32.9,32.9,32.9,0.15
BU16760300,11.4,11.4,11.4,11.4,11.4,10.4,10.4,10.4,10.4,10.4,0.15
BU16760309,33.6,33.6,33.6,33.6,33.6,28.7,28.7,28.7,28.7,28.7,0.15
BU16760400,20.9,20.9,20.9,20.9,20.9,15,15,15,15,15,0.15
BU16760401,33,33,33,33,33,23.5,23.5,23.5,23.5,23.5,0.15
BU16760409,46.6,46.6,46.6,46.6,46.6,27.5,27.5,27.5,27.5,27.5,0.15
BU16760500,9.8,9.8,9.8,9.8,9.8,8.4,8.4,8.4,8.4,8.4,0.15
BU16760501,7.9,7.9,7.9,7.9,7.9,10.3,10.3,10.3,10.3,10.3,0.15
BU16760509,27.6,27.6,27.6,27.6,27.6,21,21,21,21,21,0.15
BU16760600,10.6,10.6,10.6,10.6,10.6,9.7,9.7,9.7,9.7,9.7,0.15
BU16760609,33.9,33.9,33.9,33.9,33.9,30.1,30.1,30.1,30.1,30.1,0.15
BU16760700,10.9,10.9,10.9,10.9,10.9,11.4,11.4,11.4,11.4,11.4,0.15
BU16760701,18.2,18.2,18.2,18.2,18.2,11.2,11.2,11.2,11.2,11.2,0.15
BU16760708,44,44,44,44,44,32.9,32.9,32.9,32.9,32.9,0.15
BU16760709,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,0.15
BU16760800,13,13,13,13,13,9,9,9,9,9,0.15
BU16760809,18.5,18.5,18.5,18.5,18.5,17.8,17.8,17.8,17.8,17.8,0.15
BU16760900,13.2,13.2,13.2,13.2,13.2,11.6,11.6,11.6,11.6,11.6,0.15
BU16760909,28.7,28.7,28.7,28.7,28.7,25,25,25,25,25,0.15
BU16761000,11.9,11.9,11.9,11.9,11.9,10.1,10.1,10.1,10.1,10.1,0.15
BU16761009,26.9,26.9,26.9,26.9,26.9,32.9,32.9,32.9,32.9,32.9,0.15
BU16761100,12,12,12,12,12,17.3,17.3,17.3,17.3,17.3,0.15
BU16761109,23.9,23.9,23.9,23.9,23.9,25.7,25.7,25.7,25.7,25.7,0.15
BU16761200,11.5,11.5,11.5,11.5,11.5,10.8,10.8,10.8,10.8,10.8,0.15
BU16761201,13.3,13.3,13.3,13.3,13.3,10.9,10.9,10.9,10.9,10.9,0.15
BU16761202,15.1,15.1,15.1,15.1,15.1,15.4,15.4,15.4,15.4,15.4,0.15
BU16761203,18.4,18.4,18.4,18.4,18.4,17.5,17.5,17.5,17.5,17.5,0.15
BU16761204,21.7,21.7,21.7,21.7,21.7,16.1,16.1,16.1,16.1,16.1,0.15
BU16761205,21.1,21.1,21.1,21.1,21.1,17.7,17.7,17.7,17.7,17.7,0.15
BU16761208,29.2,29.2,29.2,29.2,29.2,27.6,27.6,27.6,27.6,27.6,0.15
BU16761209,39,39,39,39,39,27.6,27.6,27.6,27.6,27.6,0.15
BU16761300,12.2,12.2,12.2,12.2,12.2,11.5,11.5,11.5,11.5,11.5,0.15
BU16761301,18.5,18.5,18.5,18.5,18.5,16.6,16.6,16.6,16.6,16.6,0.15
BU16761302,10.3,10.3,10.3,10.3,10.3,44,44,44,44,44,0.15
BU16761303,29.5,29.5,29.5,29.5,29.5,13.5,13.5,13.5,13.5,13.5,0.15
BU16761309,15.9,15.9,15.9,15.9,15.9,25.4,25.4,25.4,25.4,25.4,0.15
BU16761400,15.3,15.3,15.3,15.3,15.3,9.6,9.6,9.6,9.6,9.6,0.15
BU16761409,13.9,13.9,13.9,13.9,13.9,13.8,13.8,13.8,13.8,13.8,0.15
BU16761500,13.4,13.4,13.4,13.4,13.4,11.4,11.4,11.4,11.4,11.4,0.15
BU16761509,25.7,25.7,25.7,25.7,25.7,29.3,29.3,29.3,29.3,29.3,0.15
BU16950000,11,11,11,11,11,11.3,11.3,11.3,11.3,11.3,0.15
BU16950001,15.2,15.2,15.2,15.2,15.2,11.5,11.5,11.5,11.5,11.5,0.15
BU16950009,23,23,23,23,23,17.5,17.5,17.5,17.5,17.5,0.15
BU16950100,7.6,7.6,7.6,7.6,7.6,8.6,8.6,8.6,8.6,8.6,0.15
BU16950109,16.9,16.9,16.9,16.9,16.9,21.4,21.4,21.4,21.4,21.4,0.15
BU16950200,12.5,12.5,12.5,12.5,12.5,9.1,9.1,9.1,9.1,9.1,0.15
BU16950209,26.4,26.4,26.4,26.4,26.4,21.9,21.9,21.9,21.9,21.9,0.15
BU16950300,11,11,11,11,11,11.8,11.8,11.8,11.8,11.8,0.15
BU16950301,14,14,14,14,14,11.5,11.5,11.5,11.5,11.5,0.15
BU16950309,16,16,16,16,16,14.3,14.3,14.3,14.3,14.3,0.15
BU16950400,9.6,9.6,9.6,9.6,9.6,8.5,8.5,8.5,8.5,8.5,0.15
BU16950409,25,25,25,25,25,25.1,25.1,25.1,25.1,25.1,0.15
BU16950500,12.8,12.8,12.8,12.8,12.8,9.7,9.7,9.7,9.7,9.7,0.15
BU16950509,13.4,13.4,13.4,13.4,13.4,5.9,5.9,5.9,5.9,5.9,0.15
BU16960100,15.1,15.1,15.1,15.1,15.1,21,21,21,21,21,0.15
BU16960102,21.3,21.3,21.3,21.3,21.3,29.7,29.7,29.7,29.7,29.7,0.15
BU16960300,12.7,12.7,12.7,12.7,12.7,20.5,20.5,20.5,20.5,20.5,0.15
BU16960400,8.7,8.7,8.7,8.7,8.7,11.7,11.7,11.7,11.7,11.7,0.15
BU16960401,19.8,19.8,19.8,19.8,19.8,15.8,15.8,15.8,15.8,15.8,0.15
BU16960402,12.7,12.7,12.7,12.7,12.7,13.2,13.2,13.2,13.2,13.2,0.15
BU16960500,10.4,10.4,10.4,10.4,10.4,21.7,21.7,21.7,21.7,21.7,0.15
BU16960604,11.1,11.1,11.1,11.1,11.1,10.9,10.9,10.9,10.9,10.9,0.15
BU17140000,9.3,9.3,9.3,9.3,9.3,6.6,6.6,6.6,6.6,6.6,0.15
BU17140001,29.2,29.2,29.2,29.2,29.2,10.9,10.9,10.9,10.9,10.9,0.15
BU17140009,24.3,24.3,24.3,24.3,24.3,23.2,23.2,23.2,23.2,23.2,0.15
BU17140100,10.7,10.7,10.7,10.7,10.7,9.6,9.6,9.6,9.6,9.6,0.15
BU17140109,17.2,17.2,17.2,17.2,17.2,14.2,14.2,14.2,14.2,14.2,0.15
BU17140200,9.8,9.8,9.8,9.8,9.8,8.8,8.8,8.8,8.8,8.8,0.15
BU17140209,28.7,28.7,28.7,28.7,28.7,22.7,22.7,22.7,22.7,22.7,0.15
BU17140300,13.9,13.9,13.9,13.9,13.9,12.9,12.9,12.9,12.9,12.9,0.15
BU17140309,34.5,34.5,34.5,34.5,34.5,27.5,27.5,27.5,27.5,27.5,0.15
BU17140400,23.2,23.2,23.2,23.2,23.2,14.2,14.2,14.2,14.2,14.2,0.15
BU17140409,21.8,21.8,21.8,21.8,21.8,32,32,32,32,32,0.15
BU17140500,10.3,10.3,10.3,10.3,10.3,8.2,8.2,8.2,8.2,8.2,0.15
BU17140509,30.7,30.7,30.7,30.7,30.7,24.8,24.8,24.8,24.8,24.8,0.15
BU17140600,9.6,9.6,9.6,9.6,9.6,10.8,10.8,10.8,10.8,10.8,0.15
BU17140609,27.7,27.7,27.7,27.7,27.7,26.7,26.7,26.7,26.7,26.7,0.15
BU17140700,13.2,13.2,13.2,13.2,13.2,11.1,11.1,11.1,11.1,11.1,0.15
BU17140701,7.4,7.4,7.4,7.4,7.4,4.8,4.8,4.8,4.8,4.8,0.15
BU17140709,14.4,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.1,14.1,0.15
BU17140800,16.3,16.3,16.3,16.3,16.3,10.7,10.7,10.7,10.7,10.7,0.15
BU17140801,11.1,11.1,11.1,11.1,11.1,12.8,12.8,12.8,12.8,12.8,0.15
BU17140809,22,22,22,22,22,23.1,23.1,23.1,23.1,23.1,0.15
BU17140900,10,10,10,10,10,10,10,10,10,10,0.15
BU17140909,22.2,22.2,22.2,22.2,22.2,21.5,21.5,21.5,21.5,21.5,0.15
BU17141000,8.6,8.6,8.6,8.6,8.6,7.5,7.5,7.5,7.5,7.5,0.15
BU17141009,16.5,16.5,16.5,16.5,16.5,11.4,11.4,11.4,11.4,11.4,0.15
BU17141100,10.4,10.4,10.4,10.4,10.4,10.5,10.5,10.5,10.5,10.5,0.15
BU17141101,18.4,18.4,18.4,18.4,18.4,10.5,10.5,10.5,10.5,10.5,0.15
BU17141108,33,33,33,33,33,24.5,24.5,24.5,24.5,24.5,0.15
BU17141109,16.4,16.4,16.4,16.4,16.4,23,23,23,23,23,0.15
BU17141200,10.3,10.3,10.3,10.3,10.3,6.9,6.9,6.9,6.9,6.9,0.15
BU17141209,28.9,28.9,28.9,28.9,28.9,25.5,25.5,25.5,25.5,25.5,0.15
BU17141300,13.9,13.9,13.9,13.9,13.9,9.9,9.9,9.9,9.9,9.9,0.15
BU17141309,17.8,17.8,17.8,17.8,17.8,22.4,22.4,22.4,22.4,22.4,0.15
BU17141400,14.6,14.6,14.6,14.6,14.6,8.7,8.7,8.7,8.7,8.7,0.15
BU17141409,22.1,22.1,22.1,22.1,22.1,22.4,22.4,22.4,22.4,22.4,0.15
BU17220000,12.3,12.3,12.3,12.3,12.3,9.6,9.6,9.6,9.6,9.6,0.15
BU17220001,11.1,11.1,11.1,11.1,11.1,12,12,12,12,12,0.15
BU17220002,15.3,15.3,15.3,15.3,15.3,13.1,13.1,13.1,13.1,13.1,0.15
BU17220003,23.8,23.8,23.8,23.8,23.8,16.1,16.1,16.1,16.1,16.1,0.15
BU17220007,23,23,23,23,23,26.1,26.1,26.1,26.1,26.1,0.15
BU17220008,25.3,25.3,25.3,25.3,25.3,23.2,23.2,23.2,23.2,23.2,0.15
BU17220009,28.2,28.2,28.2,28.2,28.2,22.9,22.9,22.9,22.9,22.9,0.15
BU17220100,12.2,12.2,12.2,12.2,12.2,10.8,10.8,10.8,10.8,10.8,0.15
BU17220109,36.3,36.3,36.3,36.3,36.3,25,25,25,25,25,0.15
BU17220200,14.6,14.6,14.6,14.6,14.6,12.2,12.2,12.2,12.2,12.2,0.15
BU17220201,22.7,22.7,22.7,22.7,22.7,13.3,13.3,13.3,13.3,13.3,0.15
BU17220202,32,32,32,32,32,29.9,29.9,29.9,29.9,29.9,0.15
BU17220203,16.6,16.6,16.6,16.6,16.6,27.2,27.2,27.2,27.2,27.2,0.15
BU17220204,23.7,23.7,23.7,23.7,23.7,16.8,16.8,16.8,16.8,16.8,0.15
BU17220205,27.8,27.8,27.8,27.8,27.8,22.3,22.3,22.3,22.3,22.3,0.15
BU17220206,14,14,14,14,14,30.4,30.4,30.4,30.4,30.4,0.15
BU17220208,30.7,30.7,30.7,30.7,30.7,25,25,25,25,25,0.15
BU17220209,18.5,18.5,18.5,18.5,18.5,29.4,29.4,29.4,29.4,29.4,0.15
BU17830509,27.1,27.1,27.1,27.1,27.1,13.2,13.2,13.2,13.2,13.2,0.15
BU17830602,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,0.15
BU17830607,5.5,5.5,5.5,5.5,5.5,7.7,7.7,7.7,7.7,7.7,0.15
BU17830610,7.7,7.7,7.7,7.7,7.7,6.7,6.7,6.7,6.7,6.7,0.15
BU17830612,16.4,16.4,16.4,16.4,16.4,15.6,15.6,15.6,15.6,15.6,0.15
BU17830803,22.6,22.6,22.6,22.6,22.6,14.4,14.4,14.4,14.4,14.4,0.15
BU18420002,22.7,22.7,22.7,22.7,22.7,13.5,13.5,13.5,13.5,13.5,0.15
BU18420005,29.4,29.4,29.4,29.4,29.4,24.8,24.8,24.8,24.8,24.8,0.15
BU18420101,25.2,25.2,25.2,25.2,25.2,16.7,16.7,16.7,16.7,16.7,0.15
BU18420108,27,27,27,27,27,12.5,12.5,12.5,12.5,12.5,0.15
BU18840407,0,0,0,0,0,35.3,35.3,35.3,35.3,35.3,0.15
BU18910000,12.7,12.7,12.7,12.7,12.7,13.7,13.7,13.7,13.7,13.7,0.15
BU18910001,19.3,19.3,19.3,19.3,19.3,16.7,16.7,16.7,16.7,16.7,0.15
BU18910002,24.2,24.2,24.2,24.2,24.2,18.1,18.1,18.1,18.1,18.1,0.15
BU18910008,4.8,4.8,4.8,4.8,4.8,35,35,35,35,35,0.15
BU18910009,34.9,34.9,34.9,34.9,34.9,24,24,24,24,24,0.15
BU18910100,11.3,11.3,11.3,11.3,11.3,16.2,16.2,16.2,16.2,16.2,0.15
BU18910101,20.3,20.3,20.3,20.3,20.3,19.4,19.4,19.4,19.4,19.4,0.15
BU18910108,23.6,23.6,23.6,23.6,23.6,29.1,29.1,29.1,29.1,29.1,0.15
BU18910109,48.3,48.3,48.3,48.3,48.3,25.7,25.7,25.7,25.7,25.7,0.15
BU18910200,11.4,11.4,11.4,11.4,11.4,12.4,12.4,12.4,12.4,12.4,0.15
